name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-08-26,65.2,55,59.6,65.2,55,59.6,46.1,61.5,0.017,100,4.17,rain,0,0,27.1,10.7,319.1,1014.4,61.6,10.6,101.8,8.7,8,10,2024-08-26T06:50:16,2024-08-26T17:54:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-27,67,54.5,61.1,67,54.5,61.1,47,60.3,0,0,0,,0,0,53,21,357.9,1010.9,90.5,10.7,83.8,7.3,4,10,2024-08-27T06:48:52,2024-08-27T17:55:03,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-28,67.8,51.9,58.7,67.8,51.9,58.7,39.9,51.4,0.008,100,8.33,rain,0,0,58.2,16.5,303.9,1005.4,54.3,10.1,121.1,10.2,6,10,2024-08-28T06:47:26,2024-08-28T17:55:53,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-29,62.7,52.6,57.1,62.7,52.6,57.1,42.1,57.7,0.046,100,8.33,rain,0,0,44.3,20,349.5,1009.1,90.8,9.4,112.6,9.7,6,10,2024-08-29T06:46:00,2024-08-29T17:56:44,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-30,67,56.7,61.2,67,56.7,61.2,41,48.6,0.142,100,4.17,rain,0,0,55.7,22.3,328.4,997,61.6,9.9,104.3,9.1,7,10,2024-08-30T06:44:34,2024-08-30T17:57:34,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999,94870099999"
melbourne,2024-08-31,63.7,55.6,59.7,63.7,55.6,59.7,42.1,52.2,0,0,0,rain,0,0,44.5,19.7,341,1000.9,61.8,10.7,78.1,6.7,4,10,2024-08-31T06:43:07,2024-08-31T17:58:24,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-01,66.3,57.9,62.2,66.3,57.9,62.2,45.6,54.9,0.007,100,4.17,rain,0,0,51.7,19.9,346.1,1002.8,67.4,11.1,78.2,6.9,3,10,2024-09-01T06:41:39,2024-09-01T17:59:14,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-02,64.5,48.2,53,64.5,44.2,51.8,38.9,59.5,0.12,100,12.5,rain,0,0,58.6,20.5,290.6,1011.7,30.1,9.4,136.9,12,7,10,2024-09-02T06:40:11,2024-09-02T18:00:04,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-03,61.7,47.8,52.9,61.7,44.7,52.1,42.2,67.7,0.087,100,4.17,rain,0,0,21.9,7,293.3,1028.9,55.2,9.3,109.6,9.5,5,10,2024-09-03T06:38:42,2024-09-03T18:00:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-04,63.8,50.3,57.6,63.8,50.3,57.6,42.2,57.5,0,0,0,,0,0,37.4,21.7,0.8,1020.9,73.7,10.7,142.5,12.3,6,10,2024-09-04T06:37:12,2024-09-04T18:01:45,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
